pool_id,poolSym,liquidity
0x00b9ec4ed8b667647a6c193855c20751e5701892,MCBC_WETH,0
0x00ba1202ebec134b7916dec310457781589bba57,DRAKEGAY_WETH,0
0x00bdbb8a65a0a1fc7a5488f47aadc611732705e8,PINE_WETH,0
0x00bfcbf6716c0657c3a2fa51f20976678482ab2e,UNI-V2_WETH,0
0x00c07a7e77c9ffa6e0e3c58790e0dcb81cef89e1,LEOX_WETH,961503437059901987930
0x00c23703d02565ec5536f58f8b586ec052195d08,RAI_NCR,0
0x00c5d11465f0518bf3fa2b2a0c030a7661e0a5f3,HRS_USDT,0
0x00c6a247a868dee7e84d16eba22d1ab903108a44,WAVAX_WETH,20787687971326792194
0x00c6f73f423fe4e9d693d0b4cfddf92d406a83a4,WAGNER_WETH,0
0x00cb3f7871d4383d517214ded3e9f0e9a1978cb3,WETH_GBA,0
0x00cc0523b7a2b97f1d52bea1b7a0c50027e0a706,USD0++_USDT,0
0x00ce80a0b06a4f6d47e11e5ae1e7186bf0866391,WETH_rswETH,0
0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC,3524547796572459
0x00d2881608d3e960d389c3421b4bfcf683a1798d,PSLC_WETH,0
0x00d336082e3f555dcfd3ef17bb2fafb5708a61e9,NUMM_USDC,18876687833743199
0x00d5ad12f4f0c9af3d35c055b16a33b649639b75,NO_WETH,0
0x00da578acb3381f48f187374cda78d6824676f27,WBTC_USDz,547496266437075
0x00db8a652ec925dbfe08b537759cf98770251183,Cĕrēs_WETH,0
0x00dbd02706a86e391ea30d53aa88f7df53a06b85,BNT_vBNT,0
0x00dc4f81f0b3fdcfbcc27655c8518a2275e93cf9,ATOR_USDC,1621301092217284
0x00dce1deb188ee420ea8be0cf95888521fbc13a3,WETH_LBR,0
0x00e0e850070c1131e0004330b0a16172f78ffec9,PCS_USDT,334373111809320
0x00e145fc1111a085616eb1cb414226e192537148,BULL_WETH,0
0x00e3620b44e0c9b7624f7982de866175cb01d5db,FJARED_WETH,0
0x00e60e96f423be482a56d22d460c6c1da8c65650,SAB121_WETH,3864420131107513
0x00e7e38fe607d1340b34cf820ced39f514cf4a89,HMEME_WETH,0
0x00e888e4cea8b2942bfe8f6f3e6880526d29bab5,CARN_ACR,0
0x00e8d9811c8fee0d8dedbe4891fafda493d6ac66,GRAI_swETH,217759339458553265966
0x00eac8324053b72a43fbf65aeee36a9eb16258ac,WETH_RESQ,0
0x00eb5948931a72135f688fbf93b62903f735443b,KCI_WETH,0
0x00ed26e794b949e18b142f9108429b74ce08ac99,WETH_SPX,0
0x00ef3b7e122853ba088a1833f7bd3b5ad3dd0d32,WETH_Yf-DAI,0
0x00f1e7a9bdfa66c03125ef31b7124f6e5e403545,COSHI_WETH,0
0x00f4eb0560e01c93de42c718b51f1ab306e4075a,DOLAN_WETH,4550714733600119084678295
0x00f59b15dc1fe2e16cde0678d2164fd5ff10e424,STC_WETH,2521102090427323543045
0x00f6bc50adf7c89c92786335236869725d9257c4,CHEEMS_WETH,972277801711729752537
